ablation,seed,run_name,timestamp
baseline,0,scgg_mmc_abl_baseline_seed0,20260701_232930
baseline,1,scgg_mmc_abl_baseline_seed1,20260701_232932
baseline,2,scgg_mmc_abl_baseline_seed2,20260701_232934
baseline,3,scgg_mmc_abl_baseline_seed3,20260701_232937
baseline,4,scgg_mmc_abl_baseline_seed4,20260701_232939
edm_off,0,scgg_mmc_abl_edm_off_seed0,20260701_232941
edm_off,1,scgg_mmc_abl_edm_off_seed1,20260701_232943
edm_off,2,scgg_mmc_abl_edm_off_seed2,20260701_232946
edm_off,3,scgg_mmc_abl_edm_off_seed3,20260701_232948
edm_off,4,scgg_mmc_abl_edm_off_seed4,20260701_232950
diffusion,0,scgg_mmc_abl_diffusion_seed0,20260701_232953
diffusion,1,scgg_mmc_abl_diffusion_seed1,20260701_232955
diffusion,2,scgg_mmc_abl_diffusion_seed2,20260701_232957
diffusion,3,scgg_mmc_abl_diffusion_seed3,20260701_232959
diffusion,4,scgg_mmc_abl_diffusion_seed4,20260701_233002
heads16,0,scgg_mmc_abl_heads16_seed0,20260701_233004
heads16,1,scgg_mmc_abl_heads16_seed1,20260701_233006
heads16,2,scgg_mmc_abl_heads16_seed2,20260701_233009
heads16,3,scgg_mmc_abl_heads16_seed3,20260701_233011
heads16,4,scgg_mmc_abl_heads16_seed4,20260701_233013
K2,0,scgg_mmc_abl_K2_seed0,20260701_233016
K2,1,scgg_mmc_abl_K2_seed1,20260701_233018
K2,2,scgg_mmc_abl_K2_seed2,20260701_233020
K2,3,scgg_mmc_abl_K2_seed3,20260701_233022
K2,4,scgg_mmc_abl_K2_seed4,20260701_233025
K16,0,scgg_mmc_abl_K16_seed0,20260701_233027
K16,1,scgg_mmc_abl_K16_seed1,20260701_233029
K16,2,scgg_mmc_abl_K16_seed2,20260701_233032
K16,3,scgg_mmc_abl_K16_seed3,20260701_233034
K16,4,scgg_mmc_abl_K16_seed4,20260701_233036
K4,0,scgg_mmc_abl_K4_seed0,20260702_144007
K4,1,scgg_mmc_abl_K4_seed1,20260702_144009
K4,2,scgg_mmc_abl_K4_seed2,20260702_144011
K4,3,scgg_mmc_abl_K4_seed3,20260702_144014
K4,4,scgg_mmc_abl_K4_seed4,20260702_144016
K32,0,scgg_mmc_abl_K32_seed0,20260702_144018
K32,1,scgg_mmc_abl_K32_seed1,20260702_144021
K32,2,scgg_mmc_abl_K32_seed2,20260702_144023
K32,3,scgg_mmc_abl_K32_seed3,20260702_144025
K32,4,scgg_mmc_abl_K32_seed4,20260702_144028
mds_eigh,0,scgg_mmc_abl_mds_eigh_seed0,20260702_144030
mds_eigh,1,scgg_mmc_abl_mds_eigh_seed1,20260702_144032
mds_eigh,2,scgg_mmc_abl_mds_eigh_seed2,20260702_144034
mds_eigh,3,scgg_mmc_abl_mds_eigh_seed3,20260702_144037
mds_eigh,4,scgg_mmc_abl_mds_eigh_seed4,20260702_144039
baseline,5,scgg_mmc_abl_baseline_seed5,20260702_144848
baseline,6,scgg_mmc_abl_baseline_seed6,20260702_144850
baseline,7,scgg_mmc_abl_baseline_seed7,20260702_144853
baseline,8,scgg_mmc_abl_baseline_seed8,20260702_144855
baseline,9,scgg_mmc_abl_baseline_seed9,20260702_144857
edm_off,5,scgg_mmc_abl_edm_off_seed5,20260702_144859
edm_off,6,scgg_mmc_abl_edm_off_seed6,20260702_144902
edm_off,7,scgg_mmc_abl_edm_off_seed7,20260702_144904
edm_off,8,scgg_mmc_abl_edm_off_seed8,20260702_144906
edm_off,9,scgg_mmc_abl_edm_off_seed9,20260702_144909
diffusion,5,scgg_mmc_abl_diffusion_seed5,20260702_144911
diffusion,6,scgg_mmc_abl_diffusion_seed6,20260702_144913
diffusion,7,scgg_mmc_abl_diffusion_seed7,20260702_144916
diffusion,8,scgg_mmc_abl_diffusion_seed8,20260702_144918
diffusion,9,scgg_mmc_abl_diffusion_seed9,20260702_144920
heads16,5,scgg_mmc_abl_heads16_seed5,20260702_144922
heads16,6,scgg_mmc_abl_heads16_seed6,20260702_144925
heads16,7,scgg_mmc_abl_heads16_seed7,20260702_144927
heads16,8,scgg_mmc_abl_heads16_seed8,20260702_144930
heads16,9,scgg_mmc_abl_heads16_seed9,20260702_144932
K2,5,scgg_mmc_abl_K2_seed5,20260702_144934
K2,6,scgg_mmc_abl_K2_seed6,20260702_144936
K2,7,scgg_mmc_abl_K2_seed7,20260702_144939
K2,8,scgg_mmc_abl_K2_seed8,20260702_144941
K2,9,scgg_mmc_abl_K2_seed9,20260702_144943
K16,5,scgg_mmc_abl_K16_seed5,20260702_144946
K16,6,scgg_mmc_abl_K16_seed6,20260702_144948
K16,7,scgg_mmc_abl_K16_seed7,20260702_144950
K16,8,scgg_mmc_abl_K16_seed8,20260702_144953
K16,9,scgg_mmc_abl_K16_seed9,20260702_144955
baseline,5,scgg_mmc_abl_baseline_seed5,20260702_152658
baseline,6,scgg_mmc_abl_baseline_seed6,20260702_152700
baseline,7,scgg_mmc_abl_baseline_seed7,20260702_152702
baseline,8,scgg_mmc_abl_baseline_seed8,20260702_152705
baseline,9,scgg_mmc_abl_baseline_seed9,20260702_152707
edm_off,5,scgg_mmc_abl_edm_off_seed5,20260702_152709
edm_off,6,scgg_mmc_abl_edm_off_seed6,20260702_152712
edm_off,7,scgg_mmc_abl_edm_off_seed7,20260702_152714
edm_off,8,scgg_mmc_abl_edm_off_seed8,20260702_152716
edm_off,9,scgg_mmc_abl_edm_off_seed9,20260702_152718
diffusion,5,scgg_mmc_abl_diffusion_seed5,20260702_152721
diffusion,6,scgg_mmc_abl_diffusion_seed6,20260702_152723
diffusion,7,scgg_mmc_abl_diffusion_seed7,20260702_152725
diffusion,8,scgg_mmc_abl_diffusion_seed8,20260702_152728
diffusion,9,scgg_mmc_abl_diffusion_seed9,20260702_152730
heads16,5,scgg_mmc_abl_heads16_seed5,20260702_152732
heads16,6,scgg_mmc_abl_heads16_seed6,20260702_152735
heads16,7,scgg_mmc_abl_heads16_seed7,20260702_152737
heads16,8,scgg_mmc_abl_heads16_seed8,20260702_152739
heads16,9,scgg_mmc_abl_heads16_seed9,20260702_152742
K2,5,scgg_mmc_abl_K2_seed5,20260702_152744
K2,6,scgg_mmc_abl_K2_seed6,20260702_152746
K2,7,scgg_mmc_abl_K2_seed7,20260702_152749
K2,8,scgg_mmc_abl_K2_seed8,20260702_152751
K2,9,scgg_mmc_abl_K2_seed9,20260702_152753
K16,5,scgg_mmc_abl_K16_seed5,20260702_152756
K16,6,scgg_mmc_abl_K16_seed6,20260702_152758
K16,7,scgg_mmc_abl_K16_seed7,20260702_152800
K16,8,scgg_mmc_abl_K16_seed8,20260702_152803
K16,9,scgg_mmc_abl_K16_seed9,20260702_152805
