call,slice_b,n_valid,top2_frac
1,0,3851,0.992161
2,0,3851,0.992160
3,0,3851,0.992160
4,0,3851,0.992159
5,0,3851,0.992158
6,0,3851,0.992157
7,0,3851,0.992157
8,0,3851,0.992156
9,0,3851,0.992156
10,0,3851,0.992155
11,0,3851,0.992154
12,0,3851,0.992154
13,0,3851,0.992153
14,0,3851,0.992152
15,0,3851,0.992150
16,0,3851,0.992148
17,0,3851,0.992146
18,0,3851,0.992144
19,0,3851,0.992142
20,0,3851,0.992141
21,0,3851,0.992140
22,0,3851,0.992138
23,0,3851,0.992138
24,0,3851,0.992139
25,0,3851,0.992140
26,0,3851,0.992140
27,0,3851,0.992141
28,0,3851,0.992137
29,0,3851,0.992136
30,0,3851,0.992139
31,0,3851,0.992139
32,0,3851,0.992136
33,0,3851,0.992136
34,0,3851,0.992137
35,0,3851,0.992134
36,0,3851,0.992133
37,0,3851,0.992133
38,0,3851,0.992130
39,0,3851,0.992130
40,0,3851,0.992131
41,0,3851,0.992131
42,0,3851,0.992127
43,0,3851,0.992124
44,0,3851,0.992126
45,0,3851,0.992126
46,0,3851,0.992125
47,0,3851,0.992126
48,0,3851,0.992129
49,0,3851,0.992139
50,0,3851,0.992142
51,0,670,0.991417
52,0,670,0.991417
53,0,670,0.991418
54,0,670,0.991419
55,0,670,0.991418
56,0,670,0.991419
57,0,670,0.991419
58,0,670,0.991420
59,0,670,0.991420
60,0,670,0.991421
61,0,670,0.991422
62,0,670,0.991421
63,0,670,0.991419
64,0,670,0.991417
65,0,670,0.991415
66,0,670,0.991415
67,0,670,0.991413
68,0,670,0.991413
69,0,670,0.991415
70,0,670,0.991420
71,0,670,0.991420
72,0,670,0.991418
73,0,670,0.991418
74,0,670,0.991417
75,0,670,0.991419
76,0,670,0.991421
77,0,670,0.991422
78,0,670,0.991426
79,0,670,0.991431
80,0,670,0.991437
81,0,670,0.991442
82,0,670,0.991447
83,0,670,0.991452
84,0,670,0.991461
85,0,670,0.991471
86,0,670,0.991476
87,0,670,0.991481
88,0,670,0.991486
89,0,670,0.991498
90,0,670,0.991509
91,0,670,0.991519
92,0,670,0.991525
93,0,670,0.991537
94,0,670,0.991552
95,0,670,0.991564
96,0,670,0.991577
97,0,670,0.991560
98,0,670,0.991547
99,0,670,0.991530
100,0,670,0.991522
101,0,4360,0.993440
102,0,4360,0.993441
103,0,4360,0.993441
104,0,4360,0.993442
105,0,4360,0.993442
106,0,4360,0.993443
107,0,4360,0.993444
108,0,4360,0.993444
109,0,4360,0.993445
110,0,4360,0.993445
111,0,4360,0.993447
112,0,4360,0.993447
113,0,4360,0.993446
114,0,4360,0.993446
115,0,4360,0.993446
116,0,4360,0.993445
117,0,4360,0.993446
118,0,4360,0.993446
119,0,4360,0.993446
120,0,4360,0.993446
121,0,4360,0.993447
122,0,4360,0.993447
123,0,4360,0.993446
124,0,4360,0.993446
125,0,4360,0.993447
126,0,4360,0.993447
127,0,4360,0.993448
128,0,4360,0.993447
129,0,4360,0.993448
130,0,4360,0.993449
131,0,4360,0.993448
132,0,4360,0.993450
133,0,4360,0.993451
134,0,4360,0.993452
135,0,4360,0.993454
136,0,4360,0.993450
137,0,4360,0.993445
138,0,4360,0.993443
139,0,4360,0.993443
140,0,4360,0.993442
141,0,4360,0.993447
142,0,4360,0.993451
143,0,4360,0.993471
144,0,4360,0.993469
145,0,4360,0.993470
146,0,4360,0.993479
147,0,4360,0.993483
148,0,4360,0.993489
149,0,4360,0.993494
150,0,4360,0.993498
151,0,5180,0.991228
152,0,5180,0.991227
153,0,5180,0.991227
154,0,5180,0.991226
155,0,5180,0.991226
156,0,5180,0.991226
157,0,5180,0.991225
158,0,5180,0.991225
159,0,5180,0.991224
160,0,5180,0.991223
