gen_loss,rec_loss,discriminating,epoch,step,degree,cluster,unique,novel,spectral,degree_degrad,cluster_degrad,spectral_degrad,avg_degrad,dis_loss
0.0,0.005985388066619635,0.0,0,127,,,,,,,,,,
,,,1,255,0.3872969150543213,0.035524558275938034,1.0,1.0,0.08661199361085892,2153.00341796875,6.733386516571045,65.54389953613281,741.76025390625,
0.0,0.004531724378466606,0.0,1,255,,,,,,,,,,
0.0,0.0030772739555686712,0.0,2,383,,,,,,,,,,
,,,3,511,0.21586044132709503,0.03768138960003853,0.9953051805496216,0.9953051805496216,0.04989670217037201,1199.979248046875,7.142195701599121,37.759483337402344,414.9603271484375,
0.0,0.0021486494224518538,0.0,3,511,,,,,,,,,,
0.0,0.0015968187944963574,0.0,4,639,,,,,,,,,,
,,,5,767,0.15825048089027405,0.049327872693538666,0.9954338073730469,0.9954338073730469,0.04397730156779289,879.7225341796875,9.349690437316895,33.27996063232422,307.4507141113281,
0.0,0.0013595502823591232,0.0,5,767,,,,,,,,,,
0.0,0.0012222829973325133,0.0,6,895,,,,,,,,,,
,,,7,1023,0.14740915596485138,0.06623534113168716,0.9954545497894287,0.9954545497894287,0.04396165534853935,819.455078125,12.554361343383789,33.26811981201172,288.4258728027344,
0.0,0.001140186912380159,0.0,7,1023,,,,,,,,,,
0.0,0.00109709776006639,0.0,8,1151,,,,,,,,,,
,,,9,1279,0.13883472979068756,0.07941035181283951,0.9955357313156128,0.9955357313156128,0.04598991945385933,771.7893676757812,15.051575660705566,34.80301284790039,273.8813171386719,
0.0,0.0010556335328146815,0.0,9,1279,,,,,,,,,,
0.0,0.001029766513966024,0.0,10,1407,,,,,,,,,,
,,,11,1535,0.13456180691719055,0.08975814282894135,0.9955947399139404,0.9955947399139404,0.04630814120173454,748.0360107421875,17.012914657592773,35.04383087158203,266.6976013183594,
0.0,0.0010049829725176096,0.0,11,1535,,,,,,,,,,
0.0,0.0009866671171039343,0.0,12,1663,,,,,,,,,,
,,,13,1791,0.13535350561141968,0.10690250992774963,0.9956331849098206,0.9956331849098206,0.049057237803936005,752.4370727539062,20.262487411499023,37.12421798706055,269.9412536621094,
0.0,0.0009662247612141073,0.0,13,1791,,,,,,,,,,
0.0,0.0009513125405646861,0.0,14,1919,,,,,,,,,,
,,,15,2047,0.13615122437477112,0.11813392490148544,0.9911894202232361,0.9911894202232361,0.05046521872282028,756.8716430664062,22.39130973815918,38.18971252441406,272.4842224121094,
0.0,0.000940343423280865,0.0,15,2047,,,,,,,,,,
0.0,0.000944190367590636,0.0,16,2175,,,,,,,,,,
,,,17,2303,0.13843172788619995,0.12761026620864868,0.9956140518188477,0.9956140518188477,0.051563017070293427,769.549072265625,24.187471389770508,39.02047348022461,277.5856628417969,
0.0,0.0009217296028509736,0.0,17,2303,,,,,,,,,,
0.0,0.0009130295366048813,0.0,18,2431,,,,,,,,,,
,,,19,2559,0.13868500292301178,0.1294470876455307,0.9955752491950989,0.9955752491950989,0.05289219319820404,770.95703125,24.535625457763672,40.02633285522461,278.5063171386719,
0.0,0.000902826723176986,0.0,19,2559,,,,,,,,,,
0.0,0.0008992528892122209,0.0,20,2687,,,,,,,,,,
